table_id,verb_root,comments
106,תפעל,
107,טאטא,
108,צחצח,
108,אבטח,
108,אזרח,
108,בעבע,
108,כחכח,
108,לחלח,
108,נענע,
108,רחרח,
108,שכנע,
109,זעזע,
109,פענח,
109,קעקע,
109,קרקע,
109,שעשע,
109,תעתע,
110,תכנן,
110,אבחן,
110,אכסן,
110,אפין,
110,ארגן,
110,דרבן,
110,טלפן,
110,משכן,
110,סגנן,
110,סקרן,
110,עדכן,
110,ענין,
110,עצבן,
110,ראין,
110,רענן,
110,שרין,
110,תזמן,
110,תמרן,
111,תכנת,
111,תמצת,
111,תרבת,
112,סבב,
112,בדד,
112,בסס,
112,בשש,
112,גלל,
112,דבב,
112,דמם,
112,חלל,
112,חקק,
112,כפף,
112,מטט,
112,עדד,
112,עלל,
112,ערר,
112,פצץ,
112,פרר,
112,צפף,
112,קמם,
112,רמם,
112,רצץ,
112,שטט,
112,תפף,
113,כנן,"FIXME! The correct roots for the table 113 כְּפוּלִים verbs are: כון, גון, רוק. The first two (כון, גון) conflict with table 96!"
113,גנן,"FIXME! Conflicts with table 96!"
113,רקן,
114,צות,
115,שיח,
116,ארע,
117,טלגרף,
118,כבד,
118,אגף,
118,איר,
118,איש,
118,אכל,
118,אלף,
118,אלץ,
118,אמץ,
118,אפס,
118,אשר,
118,אתר,
118,בדד,
118,בטל,
118,ביל,
118,בים,
118,ביש,
118,בסס,
118,בצר,
118,בשל,
118,בשם,
118,בתק,
118,בתר,
118,גבש,
118,גדל,
118,גדף,
118,גדר,
118,גיס,
118,גיר,
118,גלם,
118,גלף,
118,גמד,
118,דבר,
118,דלל,
118,הדק,
118,זבל,
118,זוג,
118,זיף,
118,זכך,
118,זקק,
118,חבר,
118,חדד,
118,חדש,
118,חזק,
118,חיב,
118,חיל,
118,חלל,
118,חלץ,
118,חלק,
118,חמם,
118,חמש,
118,חנך,
118,חסל,
118,חשב,
118,חשל,
118,חתל,
118,טנף,
118,טפל,
118,יבש,
118,ילד,
118,יצג,
118,יצר,
118,ישב,
118,ישר,
118,כבס,
118,כוץ,
118,כנס,
118,כשף,
118,כתר,
118,לטף,
118,לטש,
118,לכד,
118,לקט,
118,מגר,
118,מלט,
118,ממש,
118,מקד,
118,מקם,
118,מקש,
118,נגב,
118,נסר,
118,נפץ,
118,נצל,
118,נצר,
118,נקב,
118,נקד,
118,נקז,
118,נשל,
118,נשק,
118,נתץ,
118,נתק,
118,סבך,
118,סדר,
118,סוג,
118,סיד,
118,סכל,
118,סכם,
118,סלף,
118,סלק,
118,סמם,
118,ספק,
118,ספר,
118,עבד,
118,עגל,
118,עטר,
118,עכב,
118,עכל,
118,עצב,
118,עקל,
118,עקם,
118,עקר,
118,פזר,
118,פטם,
118,פטר,
118,פיס,
118,פלג,
118,פנק,
118,פסל,
118,פסק,
118,פצל,
118,פצץ,
118,פשט,
118,צטט,
118,ציד,
118,ציר,
118,צלם,
118,צמק,
118,קבץ,
118,קדם,
118,קדש,
118,קים,
118,קלל,
118,קלף,
118,קמט,
118,קפל,
118,קצץ,
118,קצר,
118,קשט,
118,קשר,
118,רטש,
118,רכז,
118,רכך,
118,רסס,
118,רסק,
118,רפד,
118,רצף,
118,רתך,
118,רתק,
118,שבץ,
118,שבש,
118,שגר,
118,שדך,
118,שדל,
118,שדר,
118,שוק,
118,שלב,
118,שלם,
118,שמר,
118,שפץ,
118,שפר,
118,שקם,
118,שתף,
118,שתק,
118,תבל,
118,תיג,
118,תיק,
119,וסת,
119,אמת,
119,בית,
119,זפת,
119,סתת,
119,עות,
119,פחת,
120,יחס,
120,אחד,
120,יחד,
120,יעד,
120,יעל,
120,יער,
120,נחם,
120,רהט,
120,שחד,
121,נסח,
121,בטח,
121,בצע,
121,גלח,
121,דוח,
121,טיח,
121,טפח,
121,נפח,
121,נצח,
121,נתח,
121,ספח,
121,פתח,
121,קפח,
121,שלח,
121,שסע,
122,מלא,
122,בטא,
122,דכא,
122,חטא,
122,יבא,
122,יצא,
122,סמא,
123,צנן,
123,אזן,
123,אמן,
123,גון,
123,דשן,
123,זמן,
123,חסן,
123,טגן,
123,כון,
123,לבן,
123,מין,
123,מכן,
123,ממן,
123,מתן,
123,נגן,
123,סבן,
123,סמן,
123,סנן,
123,עשן,
123,צין,
123,רסן,
123,שכן,
123,שמן,
123,תקן,
124,צרף,
124,ברך,
124,גרש,
124,דרג,
124,זרז,
124,ירט,
124,מרק,
124,סרס,
124,סרק,
124,ערב,
124,פאר,
124,פרט,
124,פרק,
124,פרר,
124,פרש,
124,קרב,
124,קרר,
124,שרש,
125,גהץ,
125,זהם,
125,טהר,
125,נהל,
125,שער,
125,תאם,
125,תאר,
125,תעד,
125,תעש,
126,זכה,
126,אדה,
126,גנה,
126,יפה,
126,כבה,
126,כנה,
126,כסה,
126,לבה,
126,מנה,
126,מצה,
126,נכה,
126,נסה,
126,נקה,
126,ענה,
126,פנה,
126,פצה,
126,פתה,
126,צוה,
126,צפה,
126,רמה,
126,שנה,
126,שסה,
127,זהה,
127,אחה,
128,גרה,
129,פרסם,
129,אורר,
129,אכזב,
129,אכלס,
129,אלתר,
129,אמלל,
129,אשפז,
129,בזבז,
129,בלבל,
129,גלגל,
129,דלדל,
129,דרדר,
129,הפנט,
129,טלטל,
129,טרפד,
129,טשטש,
129,כרסם,
129,לכלך,
129,נטרל,
129,סנור,
129,ערבב,
129,ערבל,
129,ערטל,
129,צמצם,
129,קטלג,
129,קלקל,
129,קשקש,
129,שחזר,
129,שחרר,
129,שכלל,
129,שכפל,
129,שלשל,
129,שעבד,
129,שעמם,
129,שפשף,
129,שרבב,
129,תגבר,
129,תדלק,
129,תדרך,
129,תזמר,
129,תחכם,
129,תחקר,
129,תסכל,
129,תקצב,
129,תרגל,
129,תרגם,
130,שלהב,
130,בנאם,
130,ערער,
130,תפעל,
131,שכנע,
131,אבטח,
131,אזרח,
131,צחצח,
132,שעשע,
132,זעזע,
132,נענע,
132,פענח,
132,קעקע,
133,תכנן,
133,אבחן,
133,אכסן,
133,אפין,
133,ארגן,
133,דרבן,
133,משכן,
133,סגנן,
133,עדכן,
133,ראין,
133,שרין,
133,תזמן,
133,תמרן,
134,תמצת,
134,תכנת,
135,לבש,
135,אבד,
135,אבך,
135,אבל,
135,אבק,
135,אגד,
